name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Hot Spot - Radio Edit,4kmN5b7Kl6GeH1VLWOY2jn,0.725,0.776,10,-5.302,0,0.0621,0.156,1e-06,0.298,0.589,128.041,3
I'm in Love,0WiQ7heTh74fLsysgS3V8O,0.757,0.689,10,-4.664,1,0.0392,0.00383,1.82e-05,0.0851,0.742,122.017,5
Shake 3x - 2k12 Radio Edit,1H3lYYRM1e7y22CC7e2byh,0.858,0.803,7,-5.046,1,0.361,0.147,0.00285,0.596,0.707,127.901,4
Enjoy Your Life - Video Mix,45FgJPw3JN7gN0gG1Wy1Kc,0.675,0.828,9,-5.576,1,0.0607,0.00529,1.15e-06,0.187,0.498,128.066,5
You are the only one,7cVXtwDpck4Kne4Ce8Ge6q,0.632,0.895,11,-5.276,0,0.0605,0.0416,0.0,0.0885,0.282,127.983,3
Rest Of My Life,6SLUwdeias7fn6qVq6LcgP,0.531,0.88,2,-3.875,1,0.0406,0.0123,3.29e-06,0.176,0.266,127.993,6
Euphoria - Single Version,1xN7BpTAWnZkuSLOtRP6Qc,0.562,0.783,11,-4.727,0,0.0428,0.135,1.44e-05,0.282,0.391,132.06,3
Only Teardrops,3yRwgprKX3If2zcuGfKFBu,0.561,0.844,0,-4.58,1,0.063,0.0945,0.0,0.22,0.446,110.968,5
World In Our Hands,79xJXZeudmfMq4ay9yCFGd,0.726,0.797,9,-4.097,1,0.0272,0.128,0.0,0.154,0.624,117.969,5
Sunshine (Fly So High) - Radio Mix,5AVSf9b8Za80XgauqpkQGE,0.578,0.934,8,-3.404,1,0.213,0.0896,0.0,0.174,0.46,128.987,6
I Don’t Wanna Dance - Radio Edit,0Qdhc2VMrHt0rBH27Xstfg,0.578,0.969,2,-2.111,1,0.248,0.00477,1.27e-06,0.296,0.505,128.132,4
Let It Roll,0W0FFzJ1lhTxt0JLrsiULh,0.701,0.915,4,-3.887,0,0.128,0.171,0.0,0.394,0.698,127.101,3
The Rhythm of the Night - Video Edit,1uwvFDe1dTUsNkOGP02cM5,0.644,0.87,0,-5.375,0,0.0493,0.00601,2.7e-05,0.11,0.669,127.998,3
Hot Right Now (feat. RITA ORA) - Radio Edit,2SSYLcSiT7oImgsS8cPyQu,0.524,0.972,4,-1.569,0,0.0431,0.00656,0.00058,0.224,0.476,175.017,6
In My Mind (feat. Georgi Kay) - Axwell Radio Edit,6Uj2uYNRJs4nHv5uQxmkDh,0.51,0.831,7,-4.514,0,0.0606,0.0435,3.14e-06,0.346,0.376,128.025,3
Call Me A Spaceman - Radio Edit,1UPyhGntpIx9jGJ5UVtKVS,0.581,0.877,3,-3.595,0,0.0486,0.0172,0.0,0.248,0.35,127.952,3
Scream,12eMQUn2GzfsfsQLH53M19,0.616,0.862,7,-5.18,0,0.0973,0.00117,0.0,0.179,0.569,127.992,3
Riot On The Dancefloor,74w5QEi26OWf6rH0DzGT1G,0.702,0.567,7,-6.471,0,0.0675,0.019,0.000126,0.687,0.932,133.002,1
All My People,5WDrQbxcgQZb37VboHTdZL,0.787,0.898,11,-5.492,0,0.0593,0.0196,0.00342,0.957,0.809,127.958,1
Chasing The Sun,0j4kPncBrdidY9Mfl1eZ1d,0.649,0.773,7,-5.888,0,0.0891,0.169,0.0,0.374,0.65,128.082,3
